TEXT-ID	Split
Rog-Art-J-Gvecg-P500001	Dev
Rog-Art-J-Gvecg-P500002	Train
Rog-Art-J-Gvecg-P500014	Test
Rog-Art-J-Gvecg-P500016	Train
Rog-Art-J-Gvecg-P500021	Train
Rog-Art-J-Gvecg-P500026	Train
Rog-Art-J-Gvecg-P500028	Test
Rog-Art-J-Gvecg-P500034	Train
Rog-Art-J-Gvecg-P500037	Dev
Rog-Art-J-Gvecg-P500042	Train
Rog-Art-J-Gvecg-P500046	Train
Rog-Art-J-Gvecg-P500048	Train
Rog-Art-J-Gvecg-P500051	Train
Rog-Art-J-Gvecg-P500054	Test
Rog-Art-J-Gvecg-P500063	Test
Rog-Art-J-Gvecg-P500064	Train
Rog-Art-J-Gvecg-P580002	Train
Rog-Art-J-Gvecg-P580003	Train
Rog-Art-J-Gvecg-P580009	Train
Rog-Art-J-Gvecg-P580023	Train
Rog-Art-J-Gvecg-P580041	Train
Rog-Art-J-Gvecg-P580047	Train
Rog-Art-J-Gvecg-P580051	Train
Rog-Art-N-G5013-P600007	Train
Rog-Art-N-G5014-P600007	Train
Rog-Art-N-G5019-P600012	Train
Rog-Art-N-G5020-P600012	Train
Rog-Art-N-G5025-P600021	Train
Rog-Art-N-G5025-P600022	Train
Rog-Art-N-G5026-P600021	Train
Rog-Art-N-G5035-P600034	Train
Rog-Art-N-G5036-P600034	Train
Rog-Art-N-G5043-P600044	Train
Rog-Art-N-G5044-P600044	Train
Rog-Art-N-G5053-P600052	Train
Rog-Art-N-G5054-P600052	Train
Rog-Art-N-G5082-P600080	Train
Rog-Art-N-G5083-P600080	Dev
Rog-Art-N-G5097-P600096	Test
Rog-Art-N-G6001-P600102	Train
Rog-Art-N-G6007-P600702	Test
Rog-Art-N-G6012-P601201	Train
Rog-Art-N-G6031-P603102	Train
Rog-Art-N-G6043-P604301	Train
Rog-Art-N-G6047-P604702	Train
Rog-Art-N-G6060-P606001	Test
Rog-Art-N-G6083-P608301	Dev
Rog-Art-N-G6100-P610002	Test
Rog-Art-N-G6103-P610302	Train
Rog-Art-N-G6112-P611202	Train
Rog-Art-N-G6116-P611601	Train
Rog-Art-P-G7001-P700192	Dev
Rog-Art-P-G7002-P700444	Test
Rog-Art-P-G7036-P701111	Train
Rog-Art-P-G7065-P701064	Train
Rog-Art-P-G7155-P700259	Test
Rog-Art-P-G7165-P700926	Train
Rog-Go1-Gos001	Train
Rog-Go1-Gos002	Train
Rog-Go1-Gos003	Train
Rog-Go1-Gos004	Train
Rog-Go1-Gos005	Train
Rog-Go1-Gos006	Train
Rog-Go1-Gos007	Train
Rog-Go1-Gos008	Train
Rog-Go1-Gos009	Train
Rog-Go1-Gos010	Train
Rog-Go1-Gos011	Train
Rog-Go1-Gos012	Train
Rog-Go1-Gos013	Train
Rog-Go1-Gos014	Train
Rog-Go1-Gos015	Train
Rog-Go1-Gos016	Train
Rog-Go1-Gos017	Train
Rog-Go1-Gos018	Dev
Rog-Go1-Gos019	Train
Rog-Go1-Gos020	Train
Rog-Go1-Gos021	Train
Rog-Go1-Gos022	Train
Rog-Go1-Gos023	Train
Rog-Go1-Gos024	Train
Rog-Go1-Gos025	Train
Rog-Go1-Gos026	Train
Rog-Go1-Gos027	Train
Rog-Go1-Gos028	Train
Rog-Go1-Gos029	Train
Rog-Go1-Gos030	Train
Rog-Go1-Gos031	Train
Rog-Go1-Gos032	Train
Rog-Go1-Gos033	Train
Rog-Go1-Gos034	Dev
Rog-Go1-Gos035	Train
Rog-Go1-Gos036	Train
Rog-Go1-Gos037	Train
Rog-Go1-Gos038	Train
Rog-Go1-Gos039	Train
Rog-Go1-Gos040	Train
Rog-Go1-Gos041	Train
Rog-Go1-Gos042	Dev
Rog-Go1-Gos043	Train
Rog-Go1-Gos044	Train
Rog-Go1-Gos045	Train
Rog-Go1-Gos046	Train
Rog-Go1-Gos047	Train
Rog-Go1-Gos048	Train
Rog-Go1-Gos049	Train
Rog-Go1-Gos050	Train
Rog-Go1-Gos051	Dev
Rog-Go1-Gos052	Dev
Rog-Go1-Gos053	Train
Rog-Go1-Gos054	Train
Rog-Go1-Gos055	Train
Rog-Go1-Gos056	Train
Rog-Go1-Gos057	Train
Rog-Go1-Gos058	Train
Rog-Go1-Gos059	Train
Rog-Go1-Gos060	Train
Rog-Go1-Gos061	Train
Rog-Go1-Gos062	Train
Rog-Go1-Gos063	Train
Rog-Go1-Gos064	Train
Rog-Go1-Gos065	Train
Rog-Go1-Gos066	Train
Rog-Go1-Gos067	Train
Rog-Go1-Gos068	Train
Rog-Go1-Gos069	Train
Rog-Go1-Gos070	Train
Rog-Go1-Gos071	Train
Rog-Go1-Gos072	Dev
Rog-Go1-Gos073	Dev
Rog-Go1-Gos074	Train
Rog-Go1-Gos075	Train
Rog-Go1-Gos076	Dev
Rog-Go1-Gos077	Train
Rog-Go1-Gos078	Train
Rog-Go1-Gos079	Train
Rog-Go1-Gos080	Train
Rog-Go1-Gos081	Train
Rog-Go1-Gos082	Train
Rog-Go1-Gos083	Train
Rog-Go1-Gos084	Train
Rog-Go1-Gos085	Train
Rog-Go1-Gos086	Train
Rog-Go1-Gos087	Train
Rog-Go1-Gos088	Train
Rog-Go1-Gos089	Train
Rog-Go1-Gos090	Train
Rog-Go1-Gos091	Train
Rog-Go1-Gos092	Train
Rog-Go1-Gos093	Train
Rog-Go1-Gos094	Train
Rog-Go1-Gos095	Train
Rog-Go1-Gos096	Train
Rog-Go1-Gos097	Train
Rog-Go1-Gos098	Train
Rog-Go1-Gos099	Dev
Rog-Go1-Gos100	Train
Rog-Go1-Gos101	Train
Rog-Go1-Gos102	Train
Rog-Go1-Gos103	Train
Rog-Go1-Gos104	Train
Rog-Go1-Gos105	Train
Rog-Go1-Gos106	Train
Rog-Go1-Gos107	Train
Rog-Go1-Gos108	Train
Rog-Go1-Gos109	Train
Rog-Go1-Gos110	Train
Rog-Go1-Gos111	Train
Rog-Go1-Gos112	Train
Rog-Go1-Gos113	Train
Rog-Go1-Gos114	Train
Rog-Go1-Gos115	Train
Rog-Go1-Gos116	Train
Rog-Go1-Gos117	Train
Rog-Go1-Gos118	Train
Rog-Go1-Gos119	Train
Rog-Go1-Gos120	Train
Rog-Go1-Gos121	Train
Rog-Go1-Gos122	Train
Rog-Go1-Gos123	Train
Rog-Go1-Gos124	Train
Rog-Go1-Gos125	Train
Rog-Go1-Gos126	Train
Rog-Go1-Gos127	Train
Rog-Go1-Gos128	Train
Rog-Go1-Gos129	Train
Rog-Go1-Gos130	Train
Rog-Go1-Gos131	Dev
Rog-Go1-Gos132	Dev
Rog-Go1-Gos133	Train
Rog-Go1-Gos134	Train
Rog-Go1-Gos135	Train
Rog-Go1-Gos137	Train
Rog-Go1-Gos139	Train
Rog-Go1-Gos140	Train
Rog-Go1-Gos141	Dev
Rog-Go1-Gos142	Train
Rog-Go1-Gos143	Train
Rog-Go1-Gos144	Train
Rog-Go1-Gos145	Train
Rog-Go1-Gos146	Train
Rog-Go1-Gos147	Train
Rog-Go1-Gos148	Dev
Rog-Go1-Gos149	Dev
Rog-Go1-Gos150	Dev
Rog-Go1-Gos151	Train
Rog-Go1-Gos152	Train
Rog-Go1-Gos153	Dev
Rog-Go1-Gos154	Train
Rog-Go1-Gos155	Dev
Rog-Go1-Gos156	Train
Rog-Go1-Gos157	Train
Rog-Go1-Gos158	Train
Rog-Go1-Gos160	Test
Rog-Go1-Gos161	Train
Rog-Go1-Gos162	Test
Rog-Go1-Gos163	Test
Rog-Go1-Gos164	Train
Rog-Go1-Gos165	Test
Rog-Go1-Gos166	Train
Rog-Go1-Gos168	Train
Rog-Go1-Gos169	Train
Rog-Go1-Gos170	Test
Rog-Go1-Gos171	Test
Rog-Go1-Gos172	Train
Rog-Go1-Gos174	Train
Rog-Go1-Gos175	Train
Rog-Go1-Gos176	Dev
Rog-Go1-Gos177	Train
Rog-Go1-Gos178	Train
Rog-Go1-Gos179	Test
Rog-Go1-Gos180	Train
Rog-Go1-Gos184	Dev
Rog-Go1-Gos185	Train
Rog-Go1-Gos186	Train
Rog-Go1-Gos187	Train
Rog-Go1-Gos188	Train
Rog-Go1-Gos189	Test
Rog-Go1-Gos191	Train
Rog-Go1-Gos192	Dev
Rog-Go1-Gos193	Test
Rog-Go1-Gos194	Train
Rog-Go1-Gos195	Train
Rog-Go1-Gos196	Train
Rog-Go1-Gos197	Dev
Rog-Go1-Gos198	Dev
Rog-Go1-Gos199	Train
Rog-Go1-Gos201	Train
Rog-Go1-Gos202	Dev
Rog-Go1-Gos203	Train
Rog-Go1-Gos204	Train
Rog-Go1-Gos205	Train
Rog-Go1-Gos206	Test
Rog-Go1-Gos207	Test
Rog-Go1-Gos208	Train
Rog-Go1-Gos209	Train
Rog-Go1-Gos210	Train
Rog-Go1-Gos211	Dev
Rog-Go1-Gos212	Dev
Rog-Go1-Gos213	Test
Rog-Go1-Gos214	Train
Rog-Go1-Gos215	Train
Rog-Go1-Gos216	Test
Rog-Go1-Gos217	Train
Rog-Go1-Gos218	Dev
Rog-Go1-Gos219	Train
Rog-Go1-Gos221	Train
Rog-Go1-Gos222	Dev
Rog-Go1-Gos223	Train
Rog-Go1-Gos225	Train
Rog-Go1-Gos226	Train
Rog-Go1-Gos227	Train
Rog-Go1-Gos230	Dev
Rog-Go1-Gos231	Train
Rog-Go1-Gos232	Train
Rog-Go1-Gos234	Train
Rog-Go1-Gos235	Train
Rog-Go1-Gos236	Dev
Rog-Go1-Gos237	Train
Rog-Go1-Gos238	Train
Rog-Go1-Gos239	Train
Rog-Go1-Gos240	Train
Rog-Go1-Gos241	Train
Rog-Go1-Gos242	Train
Rog-Go1-Gos243	Dev
Rog-Go1-Gos244	Train
Rog-Go1-Gos245	Train
Rog-Go1-Gos247	Dev
Rog-Go1-Gos248	Dev
Rog-Go1-Gos249	Dev
Rog-Go1-Gos250	Train
Rog-Go1-Gos251	Train
Rog-Go1-Gos252	Train
Rog-Go1-Gos253	Train
Rog-Go1-Gos255	Train
Rog-Go1-Gos256	Train
Rog-Go1-Gos258	Train
Rog-Go1-Gos259	Train
Rog-Go1-Gos260	Train
Rog-Go1-Gos261	Dev
Rog-Go1-Gos263	Train
Rog-Go1-Gos265	Dev
Rog-Go1-Gos266	Train
Rog-Go1-Gos267	Train
Rog-Go1-Gos269	Train
Rog-Go1-Gos270	Train
Rog-Go1-Gos271	Dev
Rog-Go1-Gos272	Train
Rog-Go1-Gos273	Dev
Rog-Go1-Gos274	Dev
Rog-Go1-Gos275	Train
Rog-Go1-Gos276	Train
Rog-Go1-Gos277	Train
Rog-Go1-Gos278	Train
Rog-Go1-Gos279	Train
Rog-Go1-Gos281	Train
Rog-Go1-Gos282	Train
Rog-Go1-Gos283	Train
Rog-Go1-Gos284	Train
Rog-Go1-Gos285	Train
Rog-Go1-Gos286	Train
Rog-Go1-Gos287	Dev
Rog-Go2-Gos136	Train
Rog-Go2-Gos138	Train
Rog-Go2-Gos159	Train
Rog-Go2-Gos167	Train
Rog-Go2-Gos173	Train
Rog-Go2-Gos181	Train
Rog-Go2-Gos182	Train
Rog-Go2-Gos183	Train
Rog-Go2-Gos190	Train
Rog-Go2-Gos200	Train
Rog-Go2-Gos220	Train
Rog-Go2-Gos224	Train
Rog-Go2-Gos228	Train
Rog-Go2-Gos229	Train
Rog-Go2-Gos233	Train
Rog-Go2-Gos246	Train
Rog-Go2-Gos254	Train
Rog-Go2-Gos257	Train
Rog-Go2-Gos262	Train
Rog-Go2-Gos264	Train
Rog-Go2-Gos268	Train
Rog-Go2-Gos280	Train
